#{"t_start": 1582745967.1260204, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,6.212824
,-50.0,50,8.08755
,-50.0,50,9.673765
,-50.0,50,11.298256
,-50.0,50,12.928106
,-50.0,50,14.488743
,-50.0,50,16.139184
,-50.0,50,17.772363
,-50.0,50,19.38464
,-50.0,50,21.026204
,-50.0,50,22.620498
,-50.0,50,24.247025
,-50.0,50,25.826808
,-50.0,50,27.487547
,-50.0,50,29.097965
,-50.0,50,30.731127
,-50.0,50,32.319226
,-50.0,50,33.939851
,-50.0,50,35.571385
,-50.0,50,37.161684
,-50.0,50,38.801478
,-50.0,50,40.443268
,-50.0,50,42.06881
,-50.0,50,43.674793
,-50.0,50,45.308484
,-50.0,50,46.899974
,-50.0,50,48.500711
,-50.0,50,50.117361
,-50.0,50,51.740571
,-50.0,50,53.39598
,-50.0,50,54.973789
,-50.0,50,56.644428
,-50.0,50,58.245586
,-50.0,50,59.901293
,0.0,50,61.517348
,-50.0,50,63.131091
,-50.0,50,64.736236
,-50.0,50,66.381342
,-50.0,50,68.016509
,-50.0,50,69.618166
,-50.0,50,71.197561
,-50.0,50,72.822895
,-50.0,50,74.44009
,-50.0,50,76.060065
,-50.0,50,77.661893
,0.0,50,79.287704
,-50.0,50,80.915686
,-50.0,50,82.535471
,-50.0,50,84.149399
,-50.0,50,85.727342
,-50.0,50,87.401629
,-50.0,50,87.701668
,0.0,50,88.025737
,-50.0,50,88.294836
,-50.0,50,88.555853
,-50.0,50,88.810493
,-50.0,50,89.07916
,-50.0,50,89.3734
,-50.0,50,89.64971
,-50.0,50,89.923507
,-50.0,50,90.30718
,0.0,50,91.967979
,-50.0,50,93.549894
,-50.0,50,95.197391
,-50.0,50,96.814252
,-50.0,50,98.394631
,-50.0,50,100.042031
,-50.0,50,101.632913
,-50.0,50,103.281121
,-50.0,50,104.876959
,-50.0,50,106.48881
,-50.0,50,108.107499
,-50.0,50,109.71316
,-50.0,50,111.286809
,-50.0,50,112.956187
,-50.0,50,114.531467
,-50.0,50,116.189116
,-50.0,50,117.795642
,-50.0,50,119.419794
,0.0,50,121.057557
