#{"t_start": 1582564151.5994315, "env_id": "FetchReach-v1"}
s,r,l,t
,-50.0,50,6.384578
,-50.0,50,8.184721
,-50.0,50,9.772645
,-44.0,50,11.33654
,-31.0,50,12.915767
,-50.0,50,14.480902
,-23.0,50,16.067326
,-8.0,50,17.668874
,-32.0,50,19.234107
,-6.0,50,20.772856
,-14.0,50,22.421938
,-36.0,50,22.67527
,-50.0,50,22.93347
,-50.0,50,23.182898
,-10.0,50,23.429761
,-22.0,50,23.675707
,-11.0,50,23.933388
,-33.0,50,24.187721
,-50.0,50,24.439088
,-50.0,50,24.674268
,-50.0,50,25.020422
,-9.0,50,26.588745
,-17.0,50,28.137837
,-50.0,50,29.745532
,-43.0,50,31.306024
,-9.0,50,32.876826
,-30.0,50,34.462489
,-18.0,50,36.02378
,-50.0,50,37.612538
,-31.0,50,39.193302
,0.0,50,40.827445
,-18.0,50,41.081648
,-3.0,50,41.331577
,-13.0,50,41.580591
,-11.0,50,41.839987
,-1.0,50,42.096557
,-11.0,50,42.354379
,-9.0,50,42.603696
,-11.0,50,42.898065
,0.0,50,43.12726
,-18.0,50,43.403192
,-50.0,50,45.047423
,-17.0,50,46.61833
,-50.0,50,48.204753
,-6.0,50,49.821757
,-25.0,50,51.429366
,-31.0,50,53.016361
,-36.0,50,54.606425
,-30.0,50,56.188517
,-11.0,50,57.777248
,-11.0,50,59.40702
,-7.0,50,59.684676
,-2.0,50,59.920819
,-7.0,50,60.177836
,-33.0,50,60.423215
,0.0,50,60.663307
,-8.0,50,60.911836
,-5.0,50,61.156698
,-9.0,50,61.410303
,-8.0,50,61.650036
,-12.0,50,61.996986
,-16.0,50,63.584859
,-20.0,50,65.20214
,-20.0,50,66.825509
,-17.0,50,68.413246
,-40.0,50,70.011972
,-10.0,50,71.613196
,-9.0,50,73.197708
,-29.0,50,74.79604
,-6.0,50,76.370733
,-1.0,50,78.02625
,-10.0,50,78.300877
,-4.0,50,78.550206
,-3.0,50,78.799655
,-2.0,50,79.056019
,-5.0,50,79.306061
,-7.0,50,79.564236
,-7.0,50,79.839344
,-1.0,50,80.072773
,-1.0,50,80.31868
,-20.0,50,80.602494
,-20.0,50,82.21629
,-14.0,50,83.80901
,-38.0,50,85.39662
,-11.0,50,87.001352
,-8.0,50,88.60684
,-6.0,50,90.206487
,-13.0,50,91.811939
,-40.0,50,93.396395
,-17.0,50,95.042836
,-1.0,50,96.641507
,-2.0,50,96.910555
,-2.0,50,97.15319
,-1.0,50,97.414601
,-2.0,50,97.662712
,-2.0,50,97.904362
,-1.0,50,98.153682
,-2.0,50,98.402115
,-1.0,50,98.628074
,-3.0,50,98.868727
,-17.0,50,99.232289
,-7.0,50,100.810151
,-16.0,50,102.441943
,-10.0,50,104.028824
,-19.0,50,105.646194
,-14.0,50,107.244039
,-14.0,50,108.845718
,-7.0,50,110.444436
,-3.0,50,112.074642
,-27.0,50,113.672101
,-2.0,50,115.331537
,-1.0,50,115.59549
,-1.0,50,115.828362
,-3.0,50,116.072855
,-1.0,50,116.316544
,-38.0,50,116.557544
,-1.0,50,116.810024
,-3.0,50,117.109058
,-1.0,50,117.356063
,-2.0,50,117.604378
,-16.0,50,117.883732
,-11.0,50,119.505526
,-13.0,50,121.095792
,-9.0,50,122.718485
,-9.0,50,124.302619
,-20.0,50,125.922564
,-13.0,50,127.555828
,-19.0,50,129.141748
,-18.0,50,130.787113
,-16.0,50,132.408114
,-1.0,50,134.035689
