#{"t_start": 1582809726.9442153, "env_id": "FetchSlide-v1"}
s,r,l,t
,-50.0,50,4.839674
,-50.0,50,6.707019
,-50.0,50,8.323704
,-50.0,50,9.937932
,-50.0,50,11.578459
,-50.0,50,13.201617
,-50.0,50,14.847419
,-50.0,50,16.482457
,-50.0,50,18.091031
,-50.0,50,19.699225
,-50.0,50,21.307055
,-50.0,50,22.970548
,-50.0,50,24.57697
,-50.0,50,26.242182
,-50.0,50,27.881353
,-50.0,50,29.51753
,-50.0,50,31.167171
,-50.0,50,32.771027
,-50.0,50,34.40645
,-50.0,50,36.056882
,-50.0,50,37.685357
,-50.0,50,39.378927
,-50.0,50,40.963912
,-50.0,50,42.642431
,-50.0,50,44.243217
,-50.0,50,45.903793
,-50.0,50,47.570889
,-50.0,50,49.158491
,-50.0,50,50.816327
,-50.0,50,52.448234
,-50.0,50,54.073842
,-50.0,50,55.726944
,-50.0,50,57.344982
,-50.0,50,59.006125
,-49.0,50,60.637735
,-50.0,50,62.259641
,-50.0,50,63.920806
,-50.0,50,65.568693
,-50.0,50,67.186871
,-50.0,50,68.828592
,-50.0,50,70.446031
,-50.0,50,72.066489
,-50.0,50,73.72922
,-50.0,50,75.350267
,-50.0,50,76.986317
,-50.0,50,78.592409
,-50.0,50,80.26371
,-50.0,50,81.895072
,-50.0,50,83.505861
,-50.0,50,85.133029
,-50.0,50,86.799771
,-50.0,50,87.084956
,-50.0,50,87.381756
,-50.0,50,87.655926
,-50.0,50,87.950606
,-50.0,50,88.239333
,-50.0,50,88.524662
,-50.0,50,88.81065
,-50.0,50,89.092808
,-50.0,50,89.383386
,-50.0,50,89.815064
,-50.0,50,91.435407
,-50.0,50,93.050874
,-50.0,50,94.705511
,-50.0,50,96.359617
,-50.0,50,97.951549
,-50.0,50,99.59782
,-50.0,50,101.213684
,-50.0,50,102.861923
,-50.0,50,104.468802
,-50.0,50,106.142126
,-50.0,50,107.781451
,-50.0,50,109.377384
,-50.0,50,111.029695
,-50.0,50,112.63858
,-50.0,50,114.318855
,-50.0,50,115.930632
,-50.0,50,117.571001
,-50.0,50,119.248166
,-50.0,50,120.861696
,-50.0,50,122.491473
,-50.0,50,124.123071
,-50.0,50,125.756152
,-50.0,50,127.397548
,-50.0,50,129.016934
,-50.0,50,130.661691
,-50.0,50,132.287303
,-50.0,50,133.916355
,-50.0,50,135.545426
,-50.0,50,137.165031
,-50.0,50,138.81049
,-50.0,50,140.409583
,-50.0,50,142.103609
,-50.0,50,143.714456
,-50.0,50,145.310616
,-50.0,50,146.952492
,-50.0,50,148.592641
,-50.0,50,150.211109
,-50.0,50,151.845418
,-50.0,50,153.49001
,-50.0,50,155.147649
,-50.0,50,156.798363
,-50.0,50,158.406136
,-50.0,50,160.02361
,-50.0,50,161.705895
,-50.0,50,163.315971
,-50.0,50,164.970553
,-50.0,50,166.580093
,-50.0,50,168.239965
,-50.0,50,169.883711
,-50.0,50,171.529222
,-50.0,50,171.835479
,-50.0,50,172.093203
,-50.0,50,172.381609
,-50.0,50,172.685195
,-50.0,50,172.953767
,-50.0,50,173.216206
,-50.0,50,173.489634
,-50.0,50,173.802721
,-50.0,50,174.116615
,-50.0,50,174.551003
,-50.0,50,176.221134
,-50.0,50,177.866917
,-50.0,50,179.51304
,-50.0,50,181.185095
,-50.0,50,182.805278
,-50.0,50,184.445423
,-50.0,50,186.077823
,-50.0,50,187.718347
,-50.0,50,189.330057
,-50.0,50,190.974384
,-50.0,50,192.568747
,-50.0,50,194.247229
,-50.0,50,195.903784
,-50.0,50,197.555573
,-50.0,50,199.202599
,-50.0,50,200.813199
,-50.0,50,202.438329
,-50.0,50,204.12487
,-50.0,50,205.719461
,-50.0,50,207.359014
,-50.0,50,209.047266
,-50.0,50,210.643087
,-50.0,50,212.302182
,-50.0,50,213.92172
,-50.0,50,215.56961
,-50.0,50,217.19896
,-50.0,50,218.884577
,-50.0,50,220.527246
,-50.0,50,222.145206
,-50.0,50,223.806687
,-50.0,50,225.422387
,-50.0,50,227.088932
,-50.0,50,228.703125
,-50.0,50,230.371385
,-50.0,50,232.030469
,-50.0,50,233.680684
,-50.0,50,235.275387
,-50.0,50,236.938908
,-50.0,50,238.569933
,-50.0,50,240.199733
,-50.0,50,241.8484
,-50.0,50,243.479656
,-50.0,50,245.132301
,-50.0,50,246.767459
,-50.0,50,248.365554
,-50.0,50,250.070075
,-50.0,50,251.663859
