actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.9563115,0.013252096,0.74578685,0.11707163,0.16484268,0.058249127,-49.6875,10.0,-3.2597818,0.0062500000931322575,-49.771248,50.0,0.0037499999161809683
2.5617566,0.010908024,0.7455359,0.11976,0.16522308,0.059932422,-49.975,20.0,-5.2536116,0.0,-49.91875,100.0,0.0012499999720603228
3.1045835,0.012844161,0.7454264,0.12009168,0.16522811,0.06188633,-50.0,30.0,-7.3397894,0.0,-49.86875,150.0,0.0037499999161809683
3.5474613,0.015160969,0.7452995,0.12399286,0.16533104,0.06398206,-49.90625,40.0,-8.987659,0.0,-49.85,200.0,0.0012499999720603228
3.9267564,0.019718032,0.7457873,0.13221076,0.16580161,0.067810744,-49.6,50.0,-10.376737,0.0062500000931322575,-49.47875,250.0,0.00874999980442226
4.307249,0.027072752,0.7486846,0.14221357,0.16645998,0.075494744,-48.81875,60.0,-11.024901,0.02500000037252903,-49.24125,300.0,0.012499999720603228
4.6715508,0.035712764,0.752759,0.15442407,0.1676567,0.083049305,-49.225,70.0,-11.701328,0.0,-49.166252,350.0,0.01749999960884452
5.01849,0.045003846,0.75426584,0.16229104,0.1682377,0.08804109,-48.85,80.0,-12.968086,0.018750000279396772,-49.04875,400.0,0.01874999958090484
5.340911,0.055474963,0.75589395,0.16762143,0.1688945,0.09221675,-47.96875,90.0,-13.112356,0.037500000558793545,-48.71,450.0,0.026249999413266778
5.6359167,0.066474564,0.7580338,0.17196345,0.16931011,0.09476554,-48.4875,100.0,-14.289579,0.018750000279396772,-48.36625,500.0,0.03249999904073775
5.9079046,0.07761968,0.761831,0.17436923,0.17017713,0.09645245,-46.25625,110.0,-13.233227,0.0687500024214387,-47.87375,550.0,0.04624999803490937
6.1667256,0.08809105,0.76675683,0.17679644,0.17129299,0.09750973,-46.125,120.0,-14.087948,0.08125000121071935,-47.6525,600.0,0.05249999836087227
6.4147162,0.09785233,0.7703953,0.17894329,0.17241402,0.098665535,-44.012497,130.0,-12.869068,0.11250000260770321,-46.716248,650.0,0.074999996
6.649333,0.1071265,0.77343845,0.18020745,0.17338072,0.09934739,-43.39375,140.0,-12.863016,0.16875000298023224,-46.39,700.0,0.09375
6.867004,0.11606855,0.77570057,0.18006915,0.17409277,0.09944207,-41.725,150.0,-13.361126,0.23750000540167093,-45.93625,750.0,0.0975
7.068016,0.12480779,0.7779224,0.17980142,0.1748439,0.099340715,-39.331253,160.0,-12.324878,0.26874999795109034,-45.80375,800.0,0.1175
7.25805,0.13357848,0.7798686,0.17981684,0.17545399,0.09968205,-39.13125,170.0,-12.581457,0.35625,-45.543747,850.0,0.13
