#{"t_start": 1582711634.7012546, "env_id": "FetchSlide-v1"}
s,r,l,t
,-50.0,50,6.423882
,-50.0,50,7.108639
,-50.0,50,7.622284
,-50.0,50,8.136049
,-50.0,50,8.649535
,-50.0,50,9.157582
,-50.0,50,9.677741
,-50.0,50,10.197062
,-50.0,50,10.71394
,-50.0,50,11.239423
,-50.0,50,11.769205
,-50.0,50,12.292335
,-50.0,50,12.806936
,-50.0,50,13.323327
,-50.0,50,13.832319
,-50.0,50,14.34513
,-50.0,50,14.869218
,-50.0,50,15.405714
,-50.0,50,15.950225
,-50.0,50,16.504128
,-50.0,50,17.063127
,-50.0,50,17.632524
,-50.0,50,18.189823
,-50.0,50,18.755383
,-50.0,50,19.314427
,-50.0,50,19.872621
,-50.0,50,20.437563
,-50.0,50,21.001965
,-50.0,50,21.587499
,-50.0,50,22.184492
,-50.0,50,22.772861
,-50.0,50,23.391624
,-50.0,50,23.990725
,-50.0,50,24.593314
,-50.0,50,25.185457
,-50.0,50,25.771235
,-50.0,50,26.35181
,-50.0,50,26.924575
,-50.0,50,27.507186
,-50.0,50,28.079862
,-50.0,50,28.665057
,-50.0,50,29.242242
,-50.0,50,29.818774
,-50.0,50,30.397408
,-50.0,50,30.973811
,-50.0,50,31.552911
,-50.0,50,32.131327
,-50.0,50,32.724146
,-50.0,50,33.311598
,-50.0,50,33.892068
,-50.0,50,34.501417
,-50.0,50,34.688698
,-50.0,50,34.8845
,-50.0,50,35.081579
,-50.0,50,35.278302
,-50.0,50,35.469774
,-50.0,50,35.65641
,-50.0,50,35.842764
,-50.0,50,36.047047
,-50.0,50,36.233114
,-50.0,50,36.4524
,-50.0,50,37.039795
,-50.0,50,37.621193
,-50.0,50,38.205934
,-50.0,50,38.799792
,-50.0,50,39.390834
,-50.0,50,39.980972
,-50.0,50,40.571006
,-50.0,50,41.167603
,-50.0,50,41.77352
,-50.0,50,42.379385
,-50.0,50,42.997221
,-50.0,50,43.617255
,-50.0,50,44.240896
,-50.0,50,44.885513
,-50.0,50,45.528111
,-50.0,50,46.167964
,-50.0,50,46.80923
,-50.0,50,47.445415
,-50.0,50,48.087015
,-50.0,50,48.721128
,-50.0,50,49.351849
,-50.0,50,49.977715
,-50.0,50,50.610821
,-50.0,50,51.242724
,-50.0,50,51.8797
,-50.0,50,52.527146
,-50.0,50,53.167886
,-50.0,50,53.817918
,-50.0,50,54.459964
,-50.0,50,55.110578
,-50.0,50,55.750147
,-50.0,50,56.396771
,-50.0,50,57.038754
,-50.0,50,57.687323
,-50.0,50,58.327973
,-50.0,50,58.970428
,-50.0,50,59.606445
,-50.0,50,60.27144
,-50.0,50,60.922011
,-50.0,50,61.565202
,-50.0,50,62.212864
,-50.0,50,62.861811
,-50.0,50,63.515586
,-50.0,50,64.164059
,-50.0,50,64.823851
,-50.0,50,65.48158
,-50.0,50,66.122486
,-50.0,50,66.763982
,-50.0,50,67.403474
,-50.0,50,68.060552
,-50.0,50,68.26125
,-50.0,50,68.469118
,-50.0,50,68.673665
,-50.0,50,68.866518
,-50.0,50,69.080218
,-50.0,50,69.263396
,-50.0,50,69.458464
,-50.0,50,69.651398
,-50.0,50,69.846075
,-50.0,50,70.035403
,-50.0,50,70.694856
,-50.0,50,71.345975
,-50.0,50,71.997646
,-50.0,50,72.650724
,-50.0,50,73.311116
,-50.0,50,73.977128
,-50.0,50,74.641761
,-50.0,50,75.30921
,-50.0,50,75.992516
,-50.0,50,76.652528
,-50.0,50,77.329705
,-50.0,50,78.00292
,-50.0,50,78.660026
,-50.0,50,79.311993
,-50.0,50,79.973713
,-50.0,50,80.636191
,-50.0,50,81.313466
,-50.0,50,81.975921
,-50.0,50,82.631303
,-50.0,50,83.297105
,-50.0,50,83.976502
,-50.0,50,84.641032
,-50.0,50,85.316754
,-50.0,50,85.993219
,-50.0,50,86.652755
,-50.0,50,87.315262
,-50.0,50,87.986162
,-50.0,50,88.65135
,-50.0,50,89.321177
,-50.0,50,89.985573
,-50.0,50,90.656635
,-50.0,50,91.326783
,-50.0,50,91.998146
,-50.0,50,92.668874
,-50.0,50,93.341969
,-50.0,50,94.018255
,-50.0,50,94.699509
,-50.0,50,95.370029
,-50.0,50,96.048104
,-50.0,50,96.722461
,-50.0,50,97.398706
,-50.0,50,98.078453
,-50.0,50,98.768178
,-50.0,50,99.450766
,-50.0,50,100.141604
,-50.0,50,100.828483
,-50.0,50,101.510261
,-50.0,50,102.18936
,-50.0,50,102.872793
,-50.0,50,103.565105
,-50.0,50,103.752999
,-50.0,50,103.942972
,-50.0,50,104.133372
,-50.0,50,104.338576
,-50.0,50,104.526005
,-50.0,50,104.732611
,-50.0,50,104.918707
,-50.0,50,105.108105
,-50.0,50,105.313573
,-50.0,50,105.495108
,-50.0,50,106.183883
,-50.0,50,106.881087
,-50.0,50,107.581098
,-50.0,50,108.278612
,-50.0,50,108.973437
,-50.0,50,109.677531
,-44.0,50,110.374141
,-50.0,50,111.073171
,-50.0,50,111.779912
,-50.0,50,112.491494
,-50.0,50,113.213107
,-50.0,50,113.946149
,-50.0,50,114.6759
,-50.0,50,115.41694
,-50.0,50,116.156016
,-50.0,50,116.891618
,-50.0,50,117.619557
,-50.0,50,118.3453
,-50.0,50,119.063769
,-50.0,50,119.783366
,-50.0,50,120.503156
,-50.0,50,121.228266
,-50.0,50,121.949326
,-50.0,50,122.672672
,-50.0,50,123.412995
,-50.0,50,124.139796
,-50.0,50,124.857803
,-50.0,50,125.580699
,-50.0,50,126.306747
,-50.0,50,127.040273
,-50.0,50,127.768238
,-50.0,50,128.497875
,-50.0,50,129.237357
,-50.0,50,129.983071
,-50.0,50,130.72209
,-50.0,50,131.453704
,-50.0,50,132.184879
,-50.0,50,132.920175
,-50.0,50,133.66202
,-50.0,50,134.390363
,-50.0,50,135.12439
,-50.0,50,135.865407
,-50.0,50,136.599473
,-50.0,50,137.33611
,-50.0,50,138.074913
,-50.0,50,138.810565
,-50.0,50,139.537782
,-50.0,50,140.257678
,-50.0,50,140.992516
,-50.0,50,141.739057
,-50.0,50,141.951206
,-50.0,50,142.156984
,-50.0,50,142.356274
,-50.0,50,142.549633
,-50.0,50,142.745466
,-50.0,50,142.948597
,-50.0,50,143.168334
,-50.0,50,143.361637
,-50.0,50,143.56919
,-50.0,50,143.766992
,-50.0,50,144.494808
,-50.0,50,145.231978
,-50.0,50,145.955252
,-50.0,50,146.685465
,-50.0,50,147.410931
,-50.0,50,148.131776
,-50.0,50,148.853665
,-50.0,50,149.577346
,-50.0,50,150.307715
,-50.0,50,151.040622
,-50.0,50,151.770045
,-50.0,50,152.504797
,-50.0,50,153.236502
,-50.0,50,153.968216
,-50.0,50,154.704103
,-50.0,50,155.450685
,-50.0,50,156.184595
,-50.0,50,156.92381
,-50.0,50,157.658941
,-50.0,50,158.392131
,-50.0,50,159.131682
,-50.0,50,159.858692
,-50.0,50,160.596413
,-50.0,50,161.32917
,-50.0,50,162.061568
,-50.0,50,162.804192
,-50.0,50,163.540374
,-50.0,50,164.276142
,-50.0,50,165.018185
,-50.0,50,165.75385
,-50.0,50,166.492316
,-50.0,50,167.241153
,-50.0,50,167.974103
,-50.0,50,168.716322
,-50.0,50,169.460282
,-50.0,50,170.203751
,-50.0,50,170.945342
,-50.0,50,171.697798
,-50.0,50,172.438955
,-50.0,50,173.179743
,-50.0,50,173.925798
,-50.0,50,174.661711
,-50.0,50,175.409345
,-50.0,50,176.147531
,-50.0,50,176.887762
,-50.0,50,177.639641
,-50.0,50,178.386621
,-50.0,50,179.134461
,-50.0,50,179.869343
,-49.0,50,180.621361
,-50.0,50,180.81742
,-50.0,50,181.011122
,-50.0,50,181.203325
,-50.0,50,181.431155
,-50.0,50,181.61777
,-50.0,50,181.806133
,-50.0,50,181.997159
,-50.0,50,182.185385
,-50.0,50,182.386067
,-50.0,50,182.573846
,-50.0,50,183.314111
,-50.0,50,184.053223
,-50.0,50,184.787964
,-50.0,50,185.529408
,-50.0,50,186.276089
,-50.0,50,187.020047
,-50.0,50,187.758062
,-50.0,50,188.511029
,-50.0,50,189.254009
,-50.0,50,189.996688
,-50.0,50,190.735041
,-50.0,50,191.484987
,-50.0,50,192.225921
,-50.0,50,192.978055
,-50.0,50,193.704101
,-50.0,50,194.445631
,-50.0,50,195.175408
,-50.0,50,195.916806
,-50.0,50,196.648345
,-50.0,50,197.380955
,-50.0,50,198.11295
,-50.0,50,198.852751
,-50.0,50,199.585325
,-50.0,50,200.325153
,-50.0,50,201.064729
,-50.0,50,201.791423
,-50.0,50,202.528927
,-50.0,50,203.288842
,-50.0,50,204.027923
,-50.0,50,204.775756
,-50.0,50,205.510233
,-50.0,50,206.250718
,-50.0,50,207.01516
,-50.0,50,207.777424
,-50.0,50,208.533763
,-50.0,50,209.285308
,-50.0,50,210.036537
,-50.0,50,210.78842
,-50.0,50,211.54455
,-50.0,50,212.286089
,-50.0,50,213.030585
,-50.0,50,213.778289
,-50.0,50,214.519336
,-50.0,50,215.258357
,-50.0,50,216.000729
,-50.0,50,216.761089
,-50.0,50,217.515408
,-50.0,50,218.25137
,-50.0,50,219.002055
,-50.0,50,219.765788
,-50.0,50,219.968418
,-50.0,50,220.159472
,-50.0,50,220.358381
,-50.0,50,220.580357
,-50.0,50,220.778461
,-50.0,50,220.995425
,-50.0,50,221.21405
,-50.0,50,221.408386
,-50.0,50,221.614923
,-50.0,50,221.804393
,-50.0,50,222.559077
,-50.0,50,223.303503
,-50.0,50,224.057684
,-50.0,50,224.803796
,-50.0,50,225.557119
,-50.0,50,226.299623
,-50.0,50,227.041982
,-50.0,50,227.789325
,-50.0,50,228.537939
,-50.0,50,229.290161
,-50.0,50,230.033476
,-50.0,50,230.792109
,-50.0,50,231.544535
,-50.0,50,232.295899
,-50.0,50,233.035131
,-50.0,50,233.798507
,-50.0,50,234.545508
,-50.0,50,235.292606
,-50.0,50,236.034817
,-50.0,50,236.776694
,-50.0,50,237.521066
,-50.0,50,238.262556
,-50.0,50,239.003095
,-50.0,50,239.74893
,-50.0,50,240.490241
,-50.0,50,241.234278
,-50.0,50,241.972325
,-50.0,50,242.711361
,-50.0,50,243.470785
,-50.0,50,244.201109
,-50.0,50,244.962019
,-50.0,50,245.72049
,-50.0,50,246.491066
,-50.0,50,247.239059
,-50.0,50,247.998537
,-50.0,50,248.738218
,-50.0,50,249.473762
,-50.0,50,250.220083
,-50.0,50,250.966151
,-50.0,50,251.702688
,-50.0,50,252.441276
,-50.0,50,253.181742
,-50.0,50,253.918977
,-50.0,50,254.663411
,-50.0,50,255.406995
,-50.0,50,256.159029
,-50.0,50,256.918517
,-50.0,50,257.652117
,-50.0,50,258.400784
,-50.0,50,259.177684
,-50.0,50,259.365366
,-50.0,50,259.55995
,-50.0,50,259.748645
,-50.0,50,259.930767
,-50.0,50,260.120672
,-50.0,50,260.338047
,-50.0,50,260.522563
,-50.0,50,260.719475
,-50.0,50,260.91301
,-50.0,50,261.111326
,-50.0,50,261.851921
,-50.0,50,262.592562
,-50.0,50,263.337204
,-50.0,50,264.082009
,-50.0,50,264.829302
,-50.0,50,265.58582
,-50.0,50,266.3286
,-50.0,50,267.087087
,-50.0,50,267.830192
,-50.0,50,268.567161
,-50.0,50,269.307204
,-50.0,50,270.048072
,-50.0,50,270.78317
,-50.0,50,271.529203
,-50.0,50,272.267873
,-50.0,50,273.000578
,-50.0,50,273.732831
,-50.0,50,274.464793
,-50.0,50,275.203355
,-50.0,50,275.943901
,-50.0,50,276.682615
,-50.0,50,277.41573
,-50.0,50,278.147336
,-50.0,50,278.899784
,-50.0,50,279.652822
,-50.0,50,280.389168
,-50.0,50,281.144628
,-50.0,50,281.888047
,-50.0,50,282.629258
,-50.0,50,283.382096
,-50.0,50,284.135751
,-50.0,50,284.871345
,-50.0,50,285.620927
,-50.0,50,286.360123
,-50.0,50,287.122687
,-50.0,50,287.881011
,-50.0,50,288.628188
,-50.0,50,289.388382
,-50.0,50,290.153677
,-50.0,50,290.901515
,-50.0,50,291.646591
,-50.0,50,292.383119
,-50.0,50,293.125801
,-50.0,50,293.888562
,-50.0,50,294.642736
,-50.0,50,295.392124
,-50.0,50,296.141395
,-50.0,50,296.881181
,-50.0,50,297.643705
,-50.0,50,298.390759
,-50.0,50,298.583541
,-50.0,50,298.780144
,-50.0,50,298.986689
,-50.0,50,299.209207
,-50.0,50,299.424308
,-50.0,50,299.633238
,-50.0,50,299.836289
