#{"t_start": 1582721043.0721903, "env_id": "FetchSlide-v1"}
s,r,l,t
,-50.0,50,4.678822
,-50.0,50,6.541978
,-50.0,50,8.148615
,-50.0,50,9.822466
,-50.0,50,11.480275
,-50.0,50,13.126237
,-50.0,50,14.766309
,-50.0,50,16.395104
,-50.0,50,18.038432
,-50.0,50,19.728694
,-50.0,50,21.339369
,-50.0,50,22.999311
,-50.0,50,24.613083
,-50.0,50,26.253099
,-50.0,50,27.931508
,-50.0,50,29.539548
,-50.0,50,31.197129
,-50.0,50,32.873041
,-50.0,50,34.471755
,-50.0,50,36.115164
,-50.0,50,37.737262
,-50.0,50,39.38559
,-50.0,50,41.022893
,-50.0,50,42.690074
,-50.0,50,44.288113
,-50.0,50,45.941885
,-50.0,50,47.589258
,-50.0,50,49.227555
,-50.0,50,50.844683
,-50.0,50,52.483243
,-50.0,50,54.126201
,-50.0,50,55.716005
,-50.0,50,57.380454
,-50.0,50,58.962639
,-50.0,50,60.629133
,-50.0,50,62.26927
,-50.0,50,63.885356
,-50.0,50,65.508351
,-50.0,50,67.150358
,-50.0,50,68.790812
,-50.0,50,70.411646
,-50.0,50,72.039263
,-50.0,50,73.683154
,-50.0,50,75.332614
,-50.0,50,76.921199
,-50.0,50,78.570867
,-50.0,50,80.242702
,-50.0,50,81.872302
,-50.0,50,83.460244
,-50.0,50,85.125598
,-50.0,50,86.833386
,-50.0,50,87.126645
,-50.0,50,87.44652
,-50.0,50,87.761061
,-50.0,50,88.069116
,-50.0,50,88.340332
,-50.0,50,88.627255
,-50.0,50,88.932344
,-50.0,50,89.228748
,-50.0,50,89.549697
,-50.0,50,89.899757
,-50.0,50,91.517014
,-50.0,50,93.167118
,-50.0,50,94.817904
,-50.0,50,96.429082
,-50.0,50,98.050905
,-50.0,50,99.701498
,-50.0,50,101.321939
,-50.0,50,102.969403
,-50.0,50,104.634017
,-50.0,50,106.224142
,-50.0,50,107.915381
,-50.0,50,109.543775
,-50.0,50,111.182582
,-50.0,50,112.87416
,-50.0,50,114.456242
,-50.0,50,116.124355
,-50.0,50,117.771589
,-50.0,50,119.379675
,-50.0,50,121.010931
,-50.0,50,122.610178
,-50.0,50,124.276493
,-50.0,50,125.884288
,-50.0,50,127.524378
,-50.0,50,129.19478
,0.0,50,130.794796
,-50.0,50,132.468406
,-50.0,50,134.079964
,-50.0,50,135.716321
,-50.0,50,137.354676
,-50.0,50,138.970642
,-50.0,50,140.588281
,-50.0,50,142.256644
,-50.0,50,143.915332
,-50.0,50,145.561696
,-50.0,50,147.173698
,-50.0,50,148.793216
,-50.0,50,150.445498
,-50.0,50,152.127261
,-50.0,50,153.710694
,-50.0,50,155.387799
,-50.0,50,157.029239
,-50.0,50,158.654531
,-50.0,50,160.254229
,-50.0,50,161.885362
,-50.0,50,163.536986
,-50.0,50,165.137867
,-50.0,50,166.810842
,-50.0,50,168.42819
,-50.0,50,170.069265
,-50.0,50,171.75749
,-50.0,50,172.047777
,-50.0,50,172.338255
,-50.0,50,172.618661
,-50.0,50,172.90281
,-50.0,50,173.187467
,-50.0,50,173.459099
,-50.0,50,173.743599
,-50.0,50,174.022947
,-50.0,50,174.307048
,-50.0,50,174.602478
,-50.0,50,176.268186
,-50.0,50,177.937088
,-50.0,50,179.570029
,-50.0,50,181.195912
,-50.0,50,182.860235
,-50.0,50,184.457081
,-50.0,50,186.108494
,-50.0,50,187.766742
,-50.0,50,189.384186
,-50.0,50,191.079537
,-50.0,50,192.71262
,-50.0,50,194.366507
,-50.0,50,195.978446
,-50.0,50,197.611881
,-50.0,50,199.240716
,-50.0,50,200.900098
,-50.0,50,202.528181
,-50.0,50,204.175333
,-50.0,50,205.822457
,-50.0,50,207.494773
,-50.0,50,209.115019
,-50.0,50,210.758051
,-50.0,50,212.430593
,-50.0,50,214.076084
,-50.0,50,215.689234
,-50.0,50,217.368117
,-50.0,50,219.003515
,-50.0,50,220.67768
,-50.0,50,222.328803
,-50.0,50,223.957568
,-50.0,50,225.62791
,-50.0,50,227.262219
,-40.0,50,228.906531
,-50.0,50,230.534677
,-50.0,50,232.207326
,-50.0,50,233.856542
,-50.0,50,235.498317
,-50.0,50,237.170688
,-50.0,50,238.795471
,-50.0,50,240.435232
,-50.0,50,242.058903
,-50.0,50,243.721107
,-50.0,50,245.344284
,-50.0,50,246.981351
,-50.0,50,248.649149
,-50.0,50,250.288768
,-50.0,50,251.916615
,-50.0,50,253.573792
,-50.0,50,255.193944
,-50.0,50,256.845589
,-50.0,50,257.107822
,-50.0,50,257.389244
,-50.0,50,257.73213
,-50.0,50,257.984253
,-50.0,50,258.299067
,-50.0,50,258.566131
,-50.0,50,258.890691
,-50.0,50,259.190369
,-50.0,50,259.530502
,-50.0,50,259.877073
,-50.0,50,261.508543
,-50.0,50,263.115484
,-50.0,50,264.774139
,-50.0,50,266.400711
,-50.0,50,268.092542
,-50.0,50,269.727796
,-50.0,50,271.352576
,-50.0,50,272.992746
,-50.0,50,274.651194
,-50.0,50,276.283001
,-50.0,50,277.974864
,-50.0,50,279.620236
,-50.0,50,281.229449
,-50.0,50,282.853914
,-50.0,50,284.567603
,-50.0,50,286.176825
,-50.0,50,287.868653
,-50.0,50,289.513135
,-50.0,50,291.170788
,-50.0,50,292.85659
