actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
2.0614114,0.012305632,0.73892355,0.12614101,0.16534376,0.06625709,-50.0,10.0,-3.1727998,0.0,-49.9175,50.0,0.0024999999441206455
2.6492343,0.0111650275,0.7388131,0.12925476,0.16490693,0.06653235,-49.6875,20.0,-5.167247,0.0062500000931322575,-49.765,100.0,0.0037499999161809683
3.1220036,0.012554314,0.7405824,0.13209458,0.16558972,0.06764,-49.9375,30.0,-7.103038,0.0,-49.771248,150.0,0.0037499999161809683
3.5531125,0.015596166,0.7416126,0.13725998,0.16591701,0.06997418,-49.75625,40.0,-8.901232,0.0062500000931322575,-49.71875,200.0,0.0024999999441206455
3.9748933,0.021294335,0.74322134,0.14397603,0.16628468,0.07345102,-49.1875,50.0,-9.992158,0.0062500000931322575,-49.551254,250.0,0.009999999776482582
4.3779817,0.02905966,0.7459698,0.15240502,0.16695797,0.079139434,-48.25625,60.0,-11.11021,0.03125000046566129,-49.11375,300.0,0.016249999636784196
4.769411,0.03835217,0.74819475,0.16291665,0.16759278,0.087591514,-48.25,70.0,-11.550411,0.04375000111758709,-49.18375,350.0,0.01374999969266355
5.144144,0.04904282,0.7519383,0.17327327,0.16851635,0.09554983,-47.51875,80.0,-12.015394,0.06875000102445483,-48.690002,400.0,0.031249999534338713
5.4895525,0.060855895,0.7550733,0.1802752,0.16940609,0.100588106,-47.2125,90.0,-12.313711,0.05000000074505806,-48.5475,450.0,0.027499999152496457
5.8017063,0.07292939,0.7574821,0.18297803,0.17021894,0.10261831,-45.69375,100.0,-12.578951,0.07500000111758709,-48.3375,500.0,0.03374999947845936
6.0885596,0.08471489,0.760418,0.1858415,0.17089614,0.10446143,-44.86875,110.0,-12.449892,0.10625000298023224,-47.82375,550.0,0.04749999870546162
6.356332,0.09562568,0.7639971,0.18834816,0.1717523,0.10560893,-42.55,120.0,-11.458802,0.18125000223517418,-46.713753,600.0,0.073750004
6.606019,0.10568835,0.7679212,0.19013225,0.17265497,0.10638376,-40.0,130.0,-10.964668,0.29375,-46.72625,650.0,0.08
6.8412323,0.11508015,0.7718411,0.1913762,0.17344275,0.10680192,-41.1875,140.0,-11.560724,0.24375000409781933,-46.559998,700.0,0.10124999
7.0622425,0.12396173,0.7747106,0.19240373,0.17400749,0.10739149,-39.55625,150.0,-11.437355,0.325000012293458,-46.666252,750.0,0.09125
7.272246,0.133232,0.77787465,0.19349724,0.1747634,0.10780777,-39.025,160.0,-11.713113,0.2687500137835741,-46.18875,800.0,0.10625
7.47199,0.14292651,0.7802908,0.19397438,0.17527974,0.10795508,-40.0875,170.0,-12.170235,0.31875,-45.2725,850.0,0.14625
7.6624365,0.1530797,0.78294444,0.19384556,0.1758449,0.10786289,-39.09375,180.0,-12.077334,0.3625,-45.60125,900.0,0.11624999
7.8435793,0.16365996,0.7855592,0.19318955,0.17637014,0.10761183,-38.693752,190.0,-11.425493,0.34375,-45.32125,950.0,0.1275
8.01702,0.17447941,0.78771996,0.19288124,0.17683338,0.10767934,-38.61875,200.0,-12.315199,0.375,-45.66875,1000.0,0.11875
8.183622,0.18537799,0.7899181,0.19215083,0.17736964,0.10771036,-38.3375,210.0,-12.831761,0.40000004,-44.76625,1050.0,0.16
8.340494,0.1961523,0.7915099,0.19119434,0.17775942,0.107425444,-37.375,220.0,-11.876837,0.3625,-44.620003,1100.0,0.16375001
8.487816,0.2068936,0.79326993,0.19064085,0.17814124,0.10730687,-37.543747,230.0,-12.683525,0.3437500046566129,-45.2225,1150.0,0.15
8.62894,0.21765669,0.79495186,0.19020568,0.17863493,0.107288234,-37.8,240.0,-12.078,0.39375,-44.88,1200.0,0.1325
8.7636595,0.22861618,0.796803,0.18939565,0.1790478,0.10696943,-37.14375,250.0,-12.870252,0.43125,-44.69375,1250.0,0.14125
8.893167,0.23980139,0.7984229,0.18871172,0.17948455,0.10680297,-36.225002,260.0,-13.430989,0.48125,-44.9825,1300.0,0.120000005
9.018185,0.2510947,0.79982114,0.18800974,0.17990837,0.10653401,-35.53125,270.0,-12.693691,0.48125,-44.59625,1350.0,0.145
9.138184,0.26265562,0.8010505,0.18743916,0.18017153,0.106350325,-36.04375,280.0,-12.533913,0.46250004,-44.14375,1400.0,0.17125
9.25315,0.2742957,0.8021156,0.18692134,0.18047585,0.10632524,-33.85,290.0,-12.463612,0.48125,-44.4025,1450.0,0.15125
9.364229,0.28580862,0.8033599,0.18645471,0.1807271,0.10620985,-33.225002,300.0,-12.467858,0.525,-44.5525,1500.0,0.145
9.470592,0.29741013,0.804439,0.18598445,0.1809653,0.10606736,-35.30625,310.0,-13.5846195,0.55625,-43.737503,1550.0,0.16375001
9.573161,0.30921584,0.80536413,0.18532567,0.18118897,0.105772845,-36.73125,320.0,-14.214039,0.4375,-43.7475,1600.0,0.17125
9.671701,0.3213635,0.8064377,0.18470548,0.1813944,0.1055771,-34.60625,330.0,-11.651169,0.61249995,-44.21125,1650.0,0.165
9.765913,0.33356354,0.8072743,0.18395568,0.18154667,0.10541068,-33.18125,340.0,-11.765942,0.5125,-44.45125,1700.0,0.16125
9.857026,0.3456935,0.8081477,0.18353099,0.18172707,0.10544419,-32.9125,350.0,-12.362246,0.55625,-44.0825,1750.0,0.17625
9.945187,0.35799718,0.80886704,0.18289925,0.1819207,0.10543734,-34.05625,360.0,-11.96089,0.55625,-43.8525,1800.0,0.175
10.029387,0.37016612,0.8095873,0.18233633,0.18208864,0.1053685,-31.9,370.0,-10.231533,0.675,-44.02625,1850.0,0.17875001
10.109917,0.38218373,0.8102617,0.1817256,0.18223284,0.10536783,-33.26875,380.0,-10.820045,0.55625,-43.995,1900.0,0.16749999
10.187123,0.39394173,0.8110127,0.18122143,0.1823663,0.10538903,-34.76875,390.0,-10.729946,0.61875,-44.4425,1950.0,0.16499999
10.261492,0.4050757,0.81172895,0.18066604,0.18246251,0.105390556,-33.425003,400.0,-10.895222,0.59375,-44.392498,2000.0,0.1775
10.334532,0.41564286,0.8122613,0.18011016,0.18256271,0.10527914,-33.625,410.0,-9.552735,0.64375,-44.53,2050.0,0.16874999
10.406327,0.4258494,0.8127849,0.17951347,0.18263483,0.10513839,-32.23125,420.0,-10.673673,0.625,-43.603752,2100.0,0.17625
10.476498,0.43587485,0.81321245,0.1792532,0.18270649,0.10505909,-31.6,430.0,-10.416331,0.70625,-44.6025,2150.0,0.15875
10.544707,0.4455393,0.81369567,0.17878157,0.18276039,0.104933165,-31.35,440.0,-9.889247,0.68125,-44.31125,2200.0,0.1825
10.609942,0.45511794,0.8141137,0.17846721,0.18278502,0.104941815,-32.731247,450.0,-10.219463,0.5875,-44.074997,2250.0,0.18875
10.672155,0.46445113,0.81444484,0.17816372,0.18286207,0.10499972,-31.912498,460.0,-10.6755085,0.5875,-44.24375,2300.0,0.17125
10.731461,0.47334492,0.81476516,0.177866,0.1828948,0.10512244,-32.35625,470.0,-10.200938,0.6875,-44.175,2350.0,0.165
10.786647,0.4816898,0.8151798,0.17764491,0.18296611,0.105394155,-31.099998,480.0,-9.58028,0.6625,-44.32,2400.0,0.16749999
10.837139,0.4894275,0.81550694,0.17744464,0.18302414,0.10566503,-31.3625,490.0,-9.502777,0.61875004,-44.752502,2450.0,0.16375
10.882986,0.49630827,0.8159106,0.17725681,0.18310018,0.10588068,-33.8125,500.0,-10.870169,0.57500005,-44.45875,2500.0,0.15375
10.924832,0.5025785,0.816247,0.17710519,0.18317011,0.106100455,-30.7375,510.0,-10.498215,0.5875,-44.61125,2550.0,0.14250001
10.963028,0.5083041,0.8167162,0.1768561,0.1832922,0.106229685,-31.9375,520.0,-10.9699745,0.51250005,-44.600002,2600.0,0.1525
10.999339,0.51355004,0.81709963,0.17682819,0.1833839,0.10637722,-33.806248,530.0,-12.257116,0.475,-44.735,2650.0,0.1625
11.035255,0.51850414,0.8174629,0.1767965,0.18348594,0.106486835,-35.25,540.0,-12.771067,0.4375,-44.8425,2700.0,0.1625
11.071999,0.5234083,0.81776595,0.1767901,0.18357325,0.10659201,-33.85625,550.0,-12.274394,0.46249998,-44.8425,2750.0,0.14750001
11.109768,0.52846444,0.8181629,0.1766973,0.18367983,0.10665629,-36.18125,560.0,-13.943577,0.48125002,-45.2225,2800.0,0.13499999
11.147149,0.5337242,0.8185248,0.17669971,0.18381609,0.1067439,-35.9625,570.0,-14.8768,0.45,-45.09,2850.0,0.13375
