#{"t_start": 1582730439.9584389, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,5.374631
,-50.0,50,7.266856
,-50.0,50,8.878911
,-50.0,50,10.468591
,-50.0,50,12.070462
,-50.0,50,13.627013
,-50.0,50,15.24021
,-50.0,50,16.837875
,-50.0,50,18.44692
,-50.0,50,20.047369
,-50.0,50,21.609581
,-50.0,50,23.21843
,-50.0,50,24.828874
,-50.0,50,26.431716
,-50.0,50,28.036068
,-50.0,50,29.604575
,-50.0,50,31.222417
,-50.0,50,32.827564
,-50.0,50,34.398685
,-50.0,50,36.032716
,-50.0,50,37.604064
,-50.0,50,39.212096
,-50.0,50,40.81878
,-50.0,50,42.430396
,-50.0,50,44.027321
,-50.0,50,45.618394
,-50.0,50,47.217463
,-50.0,50,48.835889
,-50.0,50,50.444038
,-50.0,50,52.030666
,-50.0,50,53.591634
,-50.0,50,55.214557
,-50.0,50,56.815879
,-50.0,50,58.423069
,-50.0,50,60.004462
,-50.0,50,61.630422
,-50.0,50,63.24224
,-50.0,50,64.846991
,-50.0,50,66.415665
,-50.0,50,68.024009
,-50.0,50,69.616768
,-50.0,50,71.21452
,-50.0,50,72.799735
,0.0,50,74.387812
,-50.0,50,76.01214
,-50.0,50,77.592783
,-50.0,50,79.196992
,-50.0,50,80.792722
,-50.0,50,82.383218
,-50.0,50,84.007067
,-50.0,50,85.623453
,-50.0,50,85.889807
,-50.0,50,86.158178
,-50.0,50,86.43039
,-50.0,50,86.683231
,-50.0,50,86.943486
,-50.0,50,87.212275
,-50.0,50,87.511018
,-50.0,50,87.764624
,-50.0,50,88.020565
,-50.0,50,88.398649
,-50.0,50,89.982547
,-50.0,50,91.616836
,-50.0,50,93.234009
,-50.0,50,94.808654
,-50.0,50,96.387766
,0.0,50,98.045372
,-50.0,50,99.632895
,-50.0,50,101.2508
,-50.0,50,102.866114
,-50.0,50,104.472237
,-50.0,50,106.080179
,0.0,50,107.670008
,-50.0,50,109.297863
,-50.0,50,110.885067
,-50.0,50,112.508911
,0.0,50,114.094499
,-50.0,50,115.691745
,-50.0,50,117.325486
,-50.0,50,118.942935
,-50.0,50,120.571198
,0.0,50,122.163427
,-50.0,50,123.770816
,-50.0,50,125.375168
,-50.0,50,126.969204
,-50.0,50,128.564302
,-50.0,50,130.158599
,-50.0,50,131.761546
,-50.0,50,133.410178
,-50.0,50,135.01417
,-50.0,50,136.632704
,-50.0,50,138.221899
,-50.0,50,139.844168
,-50.0,50,141.430444
,-50.0,50,143.051281
,-50.0,50,144.690418
,-50.0,50,146.28192
,-50.0,50,147.923173
,-50.0,50,149.572288
,-50.0,50,151.166289
,-50.0,50,152.803728
,-50.0,50,154.392318
,-50.0,50,156.033691
,-50.0,50,157.623654
,-50.0,50,159.238277
,-50.0,50,160.822325
,-50.0,50,162.459844
,-50.0,50,164.057444
,-50.0,50,165.687574
,-50.0,50,167.293382
,-50.0,50,168.918309
,-50.0,50,169.183446
,-50.0,50,169.460049
,-50.0,50,169.72204
,-50.0,50,169.982813
,-50.0,50,170.247985
,-50.0,50,170.526017
,-50.0,50,170.800269
,-50.0,50,171.065067
,-50.0,50,171.302114
,-50.0,50,171.653682
,-50.0,50,173.28185
,-50.0,50,174.903913
,-50.0,50,176.511049
,-50.0,50,178.119006
,-50.0,50,179.709342
,-50.0,50,181.3476
,-50.0,50,182.96061
,-50.0,50,184.564448
,-50.0,50,186.149464
,-50.0,50,187.77212
,-50.0,50,189.400073
,-50.0,50,191.04204
,-50.0,50,192.677344
,-50.0,50,194.23965
,-50.0,50,195.891152
,-50.0,50,197.488849
,-50.0,50,199.123334
,-50.0,50,200.725948
,-50.0,50,202.362769
,0.0,50,203.957762
,-50.0,50,205.568021
,-50.0,50,207.197148
,-50.0,50,208.804587
,-50.0,50,210.437986
,-50.0,50,212.026665
,-50.0,50,213.709161
,-50.0,50,215.31157
,-50.0,50,216.913387
,-50.0,50,218.539225
,-50.0,50,220.180395
,-50.0,50,221.805099
,-50.0,50,223.415941
,-50.0,50,225.078259
,-50.0,50,226.653187
,-50.0,50,228.287262
,-50.0,50,229.921539
,-50.0,50,231.521502
,-50.0,50,233.11996
,-50.0,50,234.772694
,-50.0,50,236.380002
,-50.0,50,238.02723
,-50.0,50,239.652259
,-50.0,50,241.28862
,-50.0,50,242.890751
,-50.0,50,244.525451
,-50.0,50,246.148871
,-50.0,50,247.766729
,-50.0,50,249.389942
,-50.0,50,251.007448
,-50.0,50,252.656057
,-50.0,50,252.925212
,-50.0,50,253.199823
,0.0,50,253.468415
,-50.0,50,253.731664
,-50.0,50,253.988978
,-50.0,50,254.24557
,-50.0,50,254.506137
,-50.0,50,254.765888
,-50.0,50,255.040974
,-50.0,50,255.39869
,-50.0,50,257.034763
,-50.0,50,258.68794
,-50.0,50,260.319048
,-50.0,50,261.91937
,-50.0,50,263.573259
,-50.0,50,265.179866
,-50.0,50,266.816448
,-50.0,50,268.418532
,-50.0,50,270.074817
,-50.0,50,271.699119
,-50.0,50,273.328869
,-50.0,50,274.935747
,-50.0,50,276.574066
,-50.0,50,278.219184
,-50.0,50,279.839412
,-50.0,50,281.477685
,-50.0,50,283.087747
,-50.0,50,284.721407
,-50.0,50,286.33841
,-50.0,50,287.955477
,-50.0,50,289.5828
,-50.0,50,291.211359
,0.0,50,292.852726
,-50.0,50,294.48227
,-50.0,50,296.121247
,-50.0,50,297.717178
,-50.0,50,299.39943
,-50.0,50,301.01674
,-50.0,50,302.672107
,-50.0,50,304.315167
,-50.0,50,305.960099
,-50.0,50,307.565578
,-50.0,50,309.211783
,-50.0,50,310.856372
,-50.0,50,312.509964
,-50.0,50,314.139481
,-50.0,50,315.77308
,-50.0,50,317.431492
,-50.0,50,319.03779
,-50.0,50,320.673889
,-50.0,50,322.318378
,-50.0,50,323.943356
,-50.0,50,325.540137
,-50.0,50,327.194864
,-50.0,50,328.820668
,-50.0,50,330.463708
,-50.0,50,332.102484
,-50.0,50,333.730886
,-50.0,50,335.358103
,-50.0,50,337.050711
,-50.0,50,337.317091
,0.0,50,337.571805
,-50.0,50,337.886311
,-50.0,50,338.167527
,-50.0,50,338.434494
,-50.0,50,338.69659
,-50.0,50,338.960696
,-50.0,50,339.226543
,-50.0,50,339.516699
,-50.0,50,339.779587
,-50.0,50,341.434627
,-50.0,50,343.067038
,-50.0,50,344.694789
